Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-1.077204810E-3	8.721499915E-4	-3.378747469E-3
0.01	9.552505521E-6	1.721500164E-4	5.285024079E-4
0.02	-1.726367448E-3	1.720020548E-4	1.501252437E-3
0.03	9.552808671E-4	1.461676133E-4	1.544982067E-3
0.04	-7.156467605E-4	-6.220993537E-4	3.412951875E-3
0.05	-1.333113176E-3	-2.692692454E-3	1.511622203E-3
0.06	-1.663013070E-3	-1.979049325E-3	1.564907409E-3
0.07	1.791559278E-4	-6.685031953E-4	2.449827702E-3
0.08	8.279595752E-4	3.134486772E-4	1.569407494E-3
0.09	5.347312379E-4	1.577456160E-3	2.425847095E-3
0.1	-2.705323989E-4	1.209167129E-3	1.583907733E-3
0.11	-2.393962702E-4	9.604780848E-4	2.491252432E-3
0.12	-8.058228319E-4	1.360076951E-3	2.492143332E-3
0.13	-5.042235005E-4	1.279164063E-3	2.501252229E-3
0.14	4.109661095E-4	3.564100081E-3	2.500213370E-3
0.15	1.471477655E-3	3.204186846E-3	2.601425601E-3
0.16	3.278478835E-4	1.866931986E-3	3.480065401E-3
0.17	-2.738174225E-4	-1.117021998E-3	3.347691714E-3
0.18	1.584374906E-4	-1.476540178E-3	2.623418653E-3
0.19	-1.273970091E-3	-1.597849957E-3	3.481252240E-3
0.2	1.241310810E-3	-1.597849957E-3	3.481252240E-3
0.21	1.231236768E-3	-1.597849957E-3	3.481252240E-3
0.22	9.044965859E-4	-1.597849957E-3	3.481252240E-3
0.23	-5.616956285E-4	-1.597849957E-3	3.314036741E-3
0.24	2.410148965E-4	-1.597849957E-3	2.675717878E-3
0.25	2.346496882E-4	-1.414251092E-3	3.844740892E-3
0.26	5.367505134E-5	-4.434924836E-5	5.063011963E-3
0.27	-3.484718759E-4	2.700882855E-3	3.481252240E-3
0.28	9.991747904E-4	4.649001676E-3	3.888492920E-3
0.29	2.206430718E-4	5.946941899E-3	5.019444782E-3
0.3	-5.479702813E-6	4.939420427E-3	3.481252240E-3
0.31	-5.462824202E-4	3.932022295E-3	3.706777203E-3
0.32	1.880446386E-4	2.924624355E-3	4.461252252E-3
0.33	1.727951502E-4	1.922124789E-3	4.221227052E-3
0.34	-7.448017795E-5	9.298282115E-4	3.975802902E-3
0.35000000000000003	-5.142012257E-5	-3.217064258E-4	5.441252170E-3
0.36	1.835677168E-3	-2.011611926E-3	5.441252170E-3
0.37	8.337694576E-4	-2.696869313E-3	5.707532682E-3
0.38	3.906135461E-4	-2.380297591E-3	6.411252173E-3
0.39	1.069901571E-3	-1.644956300E-3	5.563434182E-3
0.4	1.635749626E-3	-1.343950958E-3	4.063112787E-3
0.41000000000000003	2.095211177E-3	-3.557548810E-4	5.736389935E-3
0.42	3.389223484E-4	3.121500114E-4	6.411252173E-3
0.43	6.767680420E-4	9.218588014E-4	6.411252173E-3
0.44	-3.074913539E-4	2.519371745E-3	6.411252173E-3
0.45	2.143994201E-5	3.439444138E-3	6.087257193E-3
0.46	2.273723855E-3	3.703908032E-3	6.441593824E-3
0.47000000000000003	2.202148121E-3	2.669385901E-3	7.687581403E-3
0.48	9.021088561E-4	9.520176311E-4	6.411252173E-3
0.49	5.300400971E-4	-1.266058383E-3	6.411252173E-3
0.5	-8.720483886E-5	-1.846715009E-3	6.411252173E-3
0.51	-1.188818329E-3	-2.558473284E-3	6.044047671E-3
0.52	-2.611245408E-3	-3.368030839E-3	5.441252170E-3
0.53	-1.226224136E-3	-3.113672379E-3	5.822808946E-3
0.54	-3.720484085E-5	-3.273023152E-3	6.022458091E-3
0.55	-4.128730819E-5	-3.043437004E-3	5.837251542E-3
0.56	7.466238636E-4	-3.159764317E-3	6.411252173E-3
0.5700000000000001	1.443918991E-3	-2.134742797E-3	6.411252173E-3
0.58	1.286080246E-3	-1.553544899E-3	5.567461823E-3
0.59	1.819658022E-3	-1.539091803E-3	4.880397541E-3
0.6	1.357493638E-3	-6.639651037E-4	5.863194597E-3
0.61	3.681352135E-4	-4.616975623E-4	6.401252172E-3
