Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.8300000000000001	4.725810021E-2	2.600890108E-2	8.797046654E-4
0.84	4.841271570E-2	1.492408743E-2	7.297607533E-4
0.85	5.399582878E-2	-2.741376512E-3	1.365412475E-3
0.86	6.641104894E-2	-2.334390277E-2	2.314967446E-3
0.87	7.875389469E-2	-4.017028746E-2	7.179900539E-4
0.88	8.367565721E-2	-4.644250096E-2	-2.318080462E-3
0.89	8.454363943E-2	-4.222223786E-2	-9.710583370E-4
0.9	7.684867911E-2	-1.795093122E-2	-1.474378145E-3
0.91	7.073403561E-2	6.519725889E-3	-2.654284086E-3
0.92	6.690522992E-2	1.981616502E-2	4.095536623E-3
0.93	6.201818550E-2	2.573175837E-2	-3.619593230E-3
0.9400000000000001	5.987865837E-2	4.225210550E-2	-2.838286715E-3
0.9500000000000001	6.024930943E-2	4.973042057E-2	-1.092442624E-3
0.96	6.424034901E-2	3.575393453E-2	-1.862974588E-3
0.97	6.919952532E-2	1.240562130E-2	-4.165425211E-3
0.98	6.864246929E-2	5.729119928E-4	-3.909624663E-3
0.99	6.072398031E-2	3.042962149E-3	-2.554129210E-3
1.0	5.118848646E-2	-6.991995313E-4	-2.454397482E-3
1.01	4.153775223E-2	-9.661799742E-3	-3.093068636E-3
1.02	3.250499862E-2	-1.508924988E-2	-5.482616022E-3
1.03	2.337264233E-2	-1.229797836E-2	-8.356590021E-3
1.04	1.438723874E-2	-7.668675362E-3	-8.280764418E-3
1.05	1.160606795E-2	-1.340233098E-2	-7.843760100E-3
1.06	1.360188332E-2	-2.150872800E-2	-6.442991961E-3
1.07	1.402512949E-2	-1.832009210E-2	-7.790181673E-3
1.08	1.165088826E-2	-7.642455801E-3	-8.872431364E-3
1.09	2.075996636E-3	4.541158274E-3	-8.867662993E-3
1.1	-7.299697386E-3	1.167683631E-2	-6.835478392E-3
1.11	-1.850905469E-2	2.689000873E-2	-6.499690842E-3
1.12	-2.754162969E-2	3.646638901E-2	-4.874091561E-3
1.1300000000000001	-3.349002923E-2	3.503570757E-2	-4.661447099E-3
1.1400000000000001	-3.709204512E-2	2.677729304E-2	-3.942753301E-3
1.1500000000000001	-3.785187494E-2	1.564812529E-2	-2.778350051E-3
1.16	-3.662742779E-2	9.554301337E-4	-2.068025349E-3
1.17	-3.658059216E-2	-1.641730110E-2	-2.268313017E-3
1.18	-3.745840228E-2	-3.073654304E-2	-8.249460127E-4
1.19	-3.795295388E-2	-3.141065157E-2	7.923593784E-3
1.2	-4.263152723E-2	-2.189461808E-2	8.854170416E-3
1.21	-4.873681700E-2	-1.545789729E-2	-1.008397922E-2
1.22	-4.807467616E-2	-1.595493402E-2	-8.618277159E-3
1.23	-5.351599542E-2	3.674078073E-3	-2.349189544E-3
1.24	-4.947151703E-2	1.591225454E-2	3.325686598E-4
1.25	-4.079553521E-2	1.213556537E-2	-8.126436140E-4
1.26	-3.591113031E-2	1.725643797E-2	-3.317251392E-3
1.27	-2.675613031E-2	1.619117163E-2	-4.819438995E-3
1.28	-2.322267091E-2	1.680138548E-2	-5.100554075E-3
1.29	-2.092500335E-2	1.278659667E-2	-8.534227278E-4
1.3	-2.234348992E-2	1.521954569E-2	9.261695743E-4
1.31	-2.930621017E-2	1.193312191E-2	2.663550467E-3
1.32	-3.873269230E-2	9.978655793E-3	5.677671717E-3
1.33	-4.725856245E-2	6.951192830E-3	8.200030551E-3
1.34	-5.454599228E-2	7.917922915E-6	1.010184698E-2
1.35	-6.109152001E-2	-1.061897421E-2	1.123928369E-2
1.36	-6.552713392E-2	-2.424768210E-2	8.150604990E-3
1.37	-7.267001903E-2	-3.327286433E-2	6.359464083E-3
1.3800000000000001	-8.530573277E-2	-2.667456245E-2	4.374031893E-3
1.3900000000000001	-9.816365981E-2	-1.811454360E-2	4.776908814E-3
1.4000000000000001	-1.123131126E-1	-1.133685713E-2	4.977764250E-3
1.41	-1.292816393E-1	-4.958058099E-5	3.894196901E-3
1.42	-1.435636762E-1	1.271438760E-2	2.991086397E-3
1.43	-1.528916768E-1	2.473940973E-2	2.287560854E-3
1.44	-1.567737199E-1	2.877792836E-2	2.486073461E-3
1.45	-1.533978902E-1	2.300517122E-2	2.785549504E-3
1.46	-1.455936288E-1	1.473607058E-2	2.313305351E-3
1.47	-1.363886878E-1	8.043143802E-3	1.577400749E-3
1.48	-1.276257614E-1	1.599737004E-3	1.675435457E-3
1.49	-1.193377999E-1	-4.716933474E-3	3.429891023E-3
1.5	-1.098826808E-1	-8.951641286E-3	5.401266289E-3
1.51	-1.006895445E-1	-1.158658894E-2	4.797325475E-3
1.52	-8.960948026E-2	-1.341726969E-2	4.678708467E-3
1.53	-8.140606210E-2	-1.164757100E-2	5.777812230E-3
1.54	-6.712941714E-2	-1.203160693E-2	6.931171758E-3
1.55	-5.049339450E-2	-1.202039699E-2	8.484383974E-3
1.56	-3.593071079E-2	-1.279535274E-2	1.001318112E-2
1.57	-3.022502457E-2	-4.324068954E-3	5.111329281E-3
1.58	-2.709622783E-2	3.066228524E-3	1.811084084E-3
1.59	-2.542951452E-2	9.536490960E-3	2.310883489E-3
1.6	-2.517028070E-2	1.536527795E-2	2.483994674E-3
1.61	-2.485896444E-2	1.862729986E-2	3.764165972E-4
1.62	-2.553949213E-2	2.010193650E-2	-2.263144102E-3
1.6300000000000001	-2.827550645E-2	2.122897972E-2	-3.059893547E-3
1.6400000000000001	-2.993648825E-2	1.543547093E-2	-4.728919241E-3
1.6500000000000001	-3.035814228E-2	3.774185513E-3	-9.697022919E-3
1.6600000000000001	-2.938986237E-2	-8.393074974E-3	-1.102760984E-2
1.67	-3.017294443E-2	-1.130845736E-2	-9.242170897E-3
1.68	-3.251543081E-2	-7.681720361E-3	-9.237466719E-4
1.69	-3.831801450E-2	-7.126266166E-3	-3.241716292E-4
1.7	-4.054456735E-2	-9.144725216E-3	-2.116702584E-3
1.71	-4.124613955E-2	-5.383932616E-3	-2.011665204E-3
1.72	-4.002434206E-2	2.869387125E-4	-5.337135948E-3
1.73	-3.647538808E-2	8.408105821E-4	-7.324787602E-3
1.74	-3.073778278E-2	-1.999418542E-3	-6.466368284E-3
1.75	-2.419931358E-2	-1.436302319E-3	-5.290373411E-3
1.76	-1.911740576E-2	3.800125542E-3	-4.679354983E-3
1.77	-1.500252440E-2	6.159698467E-3	-4.526306615E-3
1.78	-1.186102973E-2	7.292137670E-3	-4.158251244E-3
1.79	-1.027050189E-2	1.115612599E-2	-3.183782478E-3
1.8	-8.754222603E-3	1.470425655E-2	-3.429354277E-3
1.81	-5.643101284E-3	1.325413641E-2	-5.891607847E-3
1.82	-7.295703103E-4	8.378099390E-3	-7.288492530E-3
1.83	8.859703872E-3	-1.723665412E-3	-5.878053871E-3
1.84	1.696985104E-2	-7.556056311E-3	-7.117729342E-3
1.85	2.527198160E-2	-1.095603149E-2	-6.805723753E-3
1.86	3.110138142E-2	-1.325733851E-2	-6.256025877E-3
1.87	3.496994068E-2	-1.221216591E-2	-5.070926593E-3
1.8800000000000001	4.140850828E-2	-8.464840896E-3	-3.502358548E-3
1.8900000000000001	4.468524280E-2	-4.054498891E-3	-2.844144160E-3
1.9000000000000001	4.641027026E-2	4.636935813E-3	-2.662076108E-3
1.9100000000000001	4.902782404E-2	1.191434108E-2	-2.448175993E-3
1.92	5.334811294E-2	1.556904216E-2	-3.480967131E-3
1.93	5.904760524E-2	1.544488420E-2	-3.500560546E-3
1.94	6.574211706E-2	1.079480236E-2	-2.742597340E-3
1.95	7.078158474E-2	7.286449740E-3	-8.174967567E-4
1.96	7.235673370E-2	8.628501174E-3	7.126100721E-4
1.97	7.287536296E-2	8.762124086E-3	-9.591050755E-4
1.98	7.272519638E-2	2.665654204E-3	1.226154120E-3
1.99	7.432870936E-2	-3.277123768E-3	2.150618956E-3
2.0	7.147427918E-2	9.106404194E-4	3.182786031E-4
2.0100000000000002	6.971698367E-2	1.166290388E-3	7.570089433E-4
2.02	6.932917967E-2	-3.751221582E-3	2.632615527E-3
2.0300000000000002	7.075862253E-2	-7.062747096E-3	1.091124223E-3
2.04	7.401409471E-2	-1.119238715E-2	5.934347246E-4
2.05	7.315946185E-2	-9.157315895E-3	1.837617311E-3
2.06	7.127133329E-2	-4.487737220E-3	1.105181308E-3
2.07	6.909941901E-2	-2.404316141E-3	1.853853867E-3
2.08	6.879303375E-2	1.600687355E-3	2.193111775E-3
2.09	6.955047691E-2	6.925228124E-3	1.150282146E-3
2.1	7.034464681E-2	1.032995430E-2	1.096593294E-3
2.11	7.097135508E-2	1.130659698E-2	3.001634035E-3
2.12	7.240752255E-2	1.100458000E-2	3.623990591E-3
2.13	7.618661203E-2	8.186817591E-3	3.273469948E-3
2.14	7.986573839E-2	4.159761191E-3	3.815260181E-3
2.15	8.294204626E-2	-1.445720955E-4	4.682844402E-3
2.16	8.496708834E-2	-4.929346248E-3	3.530484590E-3
2.17	8.542485797E-2	-4.742598936E-3	6.080800447E-3
2.18	8.694757783E-2	-6.481747731E-3	4.790765199E-3
2.19	8.982581990E-2	-7.727442127E-3	4.258214623E-3
2.2	9.396239540E-2	-8.400032515E-3	4.261153712E-3
2.21	9.652797588E-2	-6.767751991E-3	4.057988934E-3
2.22	9.870170043E-2	-5.069925074E-3	3.707526698E-3
2.23	1.003664013E-1	-4.166458651E-3	3.853188906E-3
2.24	1.014202377E-1	-1.696216717E-3	2.325498018E-3
2.25	1.008751967E-1	1.931974579E-3	1.313997130E-3
2.2600000000000002	9.752315115E-2	5.307382974E-3	1.243854663E-3
2.27	9.248306296E-2	8.575523422E-3	1.264324211E-4
2.2800000000000002	8.574984828E-2	1.181436931E-2	-9.137923198E-4
2.29	7.779233897E-2	1.415052538E-2	-8.768068220E-4
2.3000000000000003	7.127800190E-2	1.259391126E-2	-2.674387541E-3
2.31	6.267017885E-2	7.999815164E-3	2.576473544E-3
2.32	5.732172347E-2	-1.629431948E-3	-5.303560164E-4
2.33	5.038045013E-2	-4.026253924E-3	-4.459494200E-3
2.34	3.634750295E-2	3.158930351E-3	-1.431801585E-3
2.35	3.231706716E-2	-1.083449416E-2	3.354304035E-4
2.36	2.165520394E-2	-1.118912946E-2	7.169927690E-4
2.37	1.424620294E-2	-5.634198889E-3	-3.075064268E-3
2.38	1.048996687E-2	-3.783392720E-3	-3.321201487E-3
2.39	3.616521843E-3	-1.693938620E-3	-2.561216516E-3
2.4	3.477659213E-4	-1.366773948E-3	-2.551249113E-3
2.41	5.653509634E-4	-1.383628949E-3	-1.438196745E-3
2.42	-6.211515518E-4	2.017881899E-3	-2.973002043E-3
2.43	-1.688847893E-3	4.424915037E-3	-4.853969033E-3
2.44	-2.522088578E-3	4.694516463E-3	-5.893016224E-3
2.45	-3.912088419E-3	7.558668545E-3	-6.827532779E-3
2.46	-3.559188084E-3	1.200876844E-2	-5.817106810E-3
2.47	3.452760862E-4	5.236816749E-3	-4.499128905E-3
2.48	7.408273983E-4	1.586377093E-3	-5.571571080E-3
2.49	2.307998062E-3	2.314658183E-3	-5.622220191E-3
2.5	6.643175720E-3	8.028034876E-5	-6.020468321E-3
2.5100000000000002	8.800676952E-3	-6.442352327E-3	-5.476614938E-3
2.52	1.149394906E-2	-1.247050769E-2	-5.689651751E-3
2.5300000000000002	1.138963246E-2	-1.291333865E-2	-4.057844725E-3
2.54	8.104979335E-3	-6.511817381E-3	-2.558439818E-3
2.5500000000000003	2.577395719E-3	-2.692003987E-3	-1.384134714E-3
2.56	-6.604269355E-5	-2.266379746E-3	-4.377080623E-4
2.57	-5.950289648E-3	2.306639967E-3	-2.072118898E-3
2.58	-7.743728459E-3	2.930035808E-3	1.289460372E-3
2.59	-1.064640845E-2	6.121330455E-3	1.746121797E-3
2.6	-1.938811815E-2	1.339721392E-2	3.108991716E-4
2.61	-2.037468761E-2	4.860928289E-3	5.184002796E-3
2.62	-2.304158893E-2	-1.549611149E-3	-1.139784021E-3
2.63	-3.412596605E-2	4.729950210E-3	-4.942755120E-3
2.64	-3.867402301E-2	1.601128035E-3	-2.598770203E-3
2.65	-4.683467186E-2	-3.904627666E-3	2.569943819E-3
2.66	-6.128607428E-2	7.322262198E-3	6.737531755E-4
2.67	-6.031594312E-2	-3.727015405E-4	-4.264181700E-3
2.68	-6.446257792E-2	-5.312916257E-3	-4.334721248E-4
2.69	-7.098744867E-2	-7.425365442E-3	3.431625707E-3
2.7	-7.229012198E-2	-5.987572962E-3	3.559266717E-3
2.71	-7.861026612E-2	-1.289112053E-3	4.930258694E-4
2.72	-8.416544593E-2	-2.764030203E-3	2.572041902E-3
