Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.9400000000000001	7.212463865E-4	1.659667176E-3	-1.990808918E-3
0.9500000000000001	-1.285993897E-4	1.426518756E-3	-2.559800698E-3
0.96	9.254214388E-5	1.417560733E-3	-2.761166332E-3
0.97	2.210602120E-4	8.435983113E-4	-2.679098330E-3
0.98	-4.225830129E-4	1.667948680E-3	-2.487845047E-3
0.99	4.588783493E-4	2.465611489E-3	-9.819144823E-4
1.0	1.364247070E-3	1.429208593E-3	-1.069002480E-3
1.01	1.223292718E-3	2.245609481E-3	-1.737855062E-3
1.02	-3.060023324E-5	2.593151389E-3	-1.546743790E-3
1.03	2.965685216E-4	1.629898917E-3	-1.804186317E-3
1.04	2.032262294E-4	2.090929363E-3	-1.827550707E-3
1.05	-1.226570846E-4	1.085172132E-3	-1.946376445E-3
1.06	1.787236827E-4	1.667121423E-3	-2.147247480E-3
1.07	-1.921862095E-4	1.700432499E-3	-1.913417117E-3
1.08	3.364568772E-5	1.353526927E-3	-1.709073921E-3
1.09	4.142375487E-4	1.067812174E-3	-1.456645338E-3
1.1	-4.040940148E-5	9.164221282E-4	-1.182082268E-3
1.11	-1.692972734E-4	1.093376224E-3	-1.331479943E-3
1.12	7.172293524E-4	7.601486083E-4	-1.225013183E-3
1.1300000000000001	9.229818339E-4	5.135122068E-4	-1.390182917E-3
1.1400000000000001	2.041788165E-4	-1.868318306E-4	-1.519345810E-3
1.1500000000000001	8.133494479E-4	-1.813520404E-4	-1.818837331E-3
1.16	-2.619553142E-4	-1.923060031E-5	-1.594930202E-3
1.17	7.283339885E-5	2.487998258E-4	-2.148225151E-3
1.18	-6.019926751E-4	-4.804165380E-4	-1.485060558E-3
1.19	2.902275161E-4	-9.082138500E-4	-5.026549501E-4
1.2	3.091733371E-4	-8.120551435E-4	-1.011281310E-3
1.21	5.850857879E-4	-4.052846121E-4	-1.063304889E-3
1.22	7.795790081E-4	3.915039543E-5	-1.282033530E-3
1.23	7.400059970E-4	-4.600051543E-4	-1.623282009E-3
1.24	7.770233522E-4	-1.559441590E-3	-1.882801890E-3
1.25	5.625139522E-4	-1.672310795E-3	-1.558078879E-3
1.26	3.470009936E-4	-6.335150529E-4	-4.299980225E-4
1.27	4.524996695E-4	-6.604694942E-4	-1.684806135E-3
1.28	-6.338859744E-4	-9.728940147E-4	-2.439317296E-3
1.29	-9.492009729E-4	-1.569825118E-3	-8.654133334E-4
1.3	-1.465755635E-4	-1.947084138E-3	-4.830775984E-4
1.31	-3.329085134E-4	-1.246203790E-3	-5.503292984E-4
1.32	-2.031170238E-4	-7.356798760E-4	-1.666305727E-3
1.33	3.799332252E-4	-8.058740924E-4	-1.077278723E-3
1.34	5.280786189E-6	-1.390551892E-3	-1.642568112E-3
1.35	-7.988917495E-5	-1.652306980E-3	-1.733135111E-3
1.36	6.537308700E-4	-1.451220638E-3	-8.688863252E-4
1.37	7.938880978E-4	-9.701051419E-4	-1.500487487E-3
1.3800000000000001	3.010689853E-4	-1.307976280E-3	-1.601933424E-3
1.3900000000000001	-3.283988968E-4	-1.836067717E-3	-1.239387043E-3
1.4000000000000001	-1.378143362E-3	-1.486512446E-3	-1.285847576E-3
1.41	-2.144396986E-3	-1.055687484E-3	-9.047887234E-4
1.42	-5.091658228E-4	-1.720779354E-3	-1.391667504E-3
1.43	2.693634807E-5	-1.786428464E-3	-8.104184726E-4
1.44	5.446224188E-4	-1.111698190E-3	-2.411618494E-4
1.45	4.158252399E-4	-1.008119512E-3	-4.113965609E-4
1.46	-3.919156538E-4	-1.277899288E-3	-4.719824890E-4
1.47	2.665327884E-4	-1.767168522E-3	-6.457115661E-4
